occupation_id,onet_task_id,task_cluster_id,mapping_confidence,notes
occ_13_1111_00,7276,cluster_research_synthesis,0.92,manual_review_management_analysts
occ_13_1111_00,7277,cluster_analysis,0.92,manual_review_management_analysts
occ_13_1111_00,7278,cluster_coordination,0.92,manual_review_management_analysts
occ_13_1111_00,7279,cluster_workflow_admin,0.92,manual_review_management_analysts
occ_13_1111_00,7280,cluster_qa_review,0.92,manual_review_management_analysts
occ_13_1111_00,7281,cluster_research_synthesis,0.92,manual_review_management_analysts
occ_13_1111_00,7282,cluster_decision_support,0.92,manual_review_management_analysts
occ_13_1111_00,7283,cluster_coordination,0.92,manual_review_management_analysts
occ_13_1111_00,7284,cluster_decision_support,0.92,manual_review_management_analysts
occ_13_1111_00,7285,cluster_analysis,0.92,manual_review_management_analysts
occ_13_1111_00,7286,cluster_decision_support,0.92,manual_review_management_analysts
occ_13_1161_00,5433,cluster_analysis,0.92,manual_review_market_research
occ_13_1161_00,5434,cluster_documentation,0.92,manual_review_market_research
occ_13_1161_00,5435,cluster_analysis,0.92,manual_review_market_research
occ_13_1161_00,5436,cluster_analysis,0.92,manual_review_market_research
occ_13_1161_00,5437,cluster_research_synthesis,0.92,manual_review_market_research
occ_13_1161_00,5438,cluster_analysis,0.92,manual_review_market_research
occ_13_1161_00,5439,cluster_research_synthesis,0.92,manual_review_market_research
occ_13_1161_00,5440,cluster_decision_support,0.92,manual_review_market_research
occ_13_1161_00,5441,cluster_analysis,0.92,manual_review_market_research
occ_13_1161_00,5442,cluster_research_synthesis,0.92,manual_review_market_research
occ_13_1161_00,5443,cluster_qa_review,0.92,manual_review_market_research
occ_13_1161_00,5444,cluster_oversight_strategy,0.92,manual_review_market_research
occ_13_1161_00,5445,cluster_oversight_strategy,0.92,manual_review_market_research
occ_13_1071_00,18852,cluster_relationship_management,0.92,manual_review_hr_specialists
occ_13_1071_00,18853,cluster_analysis,0.92,manual_review_hr_specialists
occ_13_1071_00,18854,cluster_relationship_management,0.92,manual_review_hr_specialists
occ_13_1071_00,18855,cluster_qa_review,0.92,manual_review_hr_specialists
occ_13_1071_00,18856,cluster_oversight_strategy,0.92,manual_review_hr_specialists
occ_13_1071_00,18857,cluster_relationship_management,0.92,manual_review_hr_specialists
occ_13_1071_00,18858,cluster_oversight_strategy,0.92,manual_review_hr_specialists
occ_13_1071_00,18859,cluster_execution_routine,0.92,manual_review_hr_specialists
occ_13_1071_00,18860,cluster_relationship_management,0.92,manual_review_hr_specialists
occ_13_1071_00,18861,cluster_decision_support,0.92,manual_review_hr_specialists
occ_13_1071_00,18862,cluster_relationship_management,0.92,manual_review_hr_specialists
occ_13_1071_00,18863,cluster_documentation,0.92,manual_review_hr_specialists
occ_13_1071_00,18864,cluster_research_synthesis,0.92,manual_review_hr_specialists
occ_13_1071_00,18865,cluster_research_synthesis,0.92,manual_review_hr_specialists
occ_13_1071_00,18866,cluster_documentation,0.92,manual_review_hr_specialists
occ_13_1071_00,18867,cluster_decision_support,0.92,manual_review_hr_specialists
occ_13_1071_00,18868,cluster_qa_review,0.92,manual_review_hr_specialists
occ_13_1071_00,18869,cluster_workflow_admin,0.92,manual_review_hr_specialists
occ_13_1071_00,18870,cluster_coordination,0.92,manual_review_hr_specialists
occ_13_1071_00,18871,cluster_decision_support,0.92,manual_review_hr_specialists
occ_13_1071_00,18872,cluster_decision_support,0.92,manual_review_hr_specialists
