"occupation_id","adaptive_capacity_score","transferability_score","learning_intensity_score","transition_option_count","job_zone","source_mix","confidence","notes"
"occ_11_1021_00","0.609","0.612","0.622","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.52","derived_launch_aggregate|knowledge_share=0.44|people_share=0.36|routine_share=0.10"
"occ_11_2021_00","0.637","0.632","0.690","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.59","derived_launch_aggregate|knowledge_share=0.55|people_share=0.28|routine_share=0.10"
"occ_11_2022_00","0.613","0.593","0.612","14","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.59","derived_launch_aggregate|knowledge_share=0.21|people_share=0.60|routine_share=0.19"
"occ_11_3021_00","0.628","0.608","0.714","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.67","derived_launch_aggregate|knowledge_share=0.54|people_share=0.16|routine_share=0.12"
"occ_11_3031_00","0.557","0.538","0.671","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.64","derived_launch_aggregate|knowledge_share=0.39|people_share=0.13|routine_share=0.32"
"occ_11_3071_00","0.465","0.465","0.548","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.48","derived_launch_aggregate|knowledge_share=0.10|people_share=0.34|routine_share=0.56"
"occ_11_3121_00","0.555","0.529","0.584","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.60","derived_launch_aggregate|knowledge_share=0.10|people_share=0.51|routine_share=0.32"
"occ_11_9041_00","0.603","0.593","0.742","13","5","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.59","derived_launch_aggregate|knowledge_share=0.48|people_share=0.12|routine_share=0.21"
"occ_11_9141_00","0.452","0.462","0.515","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.61","derived_launch_aggregate|knowledge_share=0.10|people_share=0.34|routine_share=0.56"
"occ_13_1023_00","0.457","0.463","0.528","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.56","derived_launch_aggregate|knowledge_share=0.10|people_share=0.34|routine_share=0.56"
"occ_13_1031_00","0.432","0.452","0.496","11","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.52","derived_launch_aggregate|knowledge_share=0.10|people_share=0.34|routine_share=0.56"
"occ_13_1041_00","0.450","0.459","0.522","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.63","derived_launch_aggregate|knowledge_share=0.10|people_share=0.34|routine_share=0.56"
"occ_13_1051_00","0.435","0.454","0.499","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.50","derived_launch_aggregate|knowledge_share=0.10|people_share=0.34|routine_share=0.56"
"occ_13_1071_00","0.532","0.523","0.537","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.65","derived_launch_aggregate|knowledge_share=0.10|people_share=0.51|routine_share=0.32"
"occ_13_1081_00","0.479","0.471","0.564","12","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.57","derived_launch_aggregate|knowledge_share=0.10|people_share=0.34|routine_share=0.56"
"occ_13_1082_00","0.610","0.612","0.624","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.53","derived_launch_aggregate|knowledge_share=0.44|people_share=0.36|routine_share=0.10"
"occ_13_1111_00","0.629","0.640","0.658","14","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.64","derived_launch_aggregate|knowledge_share=0.57|people_share=0.32|routine_share=0.11"
"occ_13_1151_00","0.539","0.526","0.545","13","4","src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.59","derived_launch_aggregate|knowledge_share=0.10|people_share=0.51|routine_share=0.32"
