occupation_id,demand_expansion_context,labor_demand_context,labor_tightness_context,ai_adoption_context,adoption_realization_context,labor_context_confidence,adoption_context_confidence,context_confidence,btos_covered_sector_share,source_mix,notes,demand_floor_suppression
occ_11_1021_00,0.4800,0.4885,0.4600,0.1895,0.2141,0.8500,0.9271,0.8847,0.9640,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.509|openings_rate_pct=0.433|inverse_unemployment_pct=0.500|btos_adoption_pct=0.103|btos_current_ai_use_pct=0.103|btos_workflow_change_pct=0.103|adoption_activation=0.163,1.00
occ_11_2021_00,0.5763,0.6090,0.5000,0.6070,0.6095,0.8500,0.9438,0.8922,0.9840,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.698|openings_rate_pct=0.500|inverse_unemployment_pct=0.500|btos_adoption_pct=0.569|btos_current_ai_use_pct=0.552|btos_workflow_change_pct=0.569|adoption_activation=0.922,1.00
occ_11_2022_00,0.4649,0.4884,0.4100,0.3050,0.3231,0.8500,0.9435,0.8921,0.9900,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.547|openings_rate_pct=0.350|inverse_unemployment_pct=0.500|btos_adoption_pct=0.224|btos_current_ai_use_pct=0.207|btos_workflow_change_pct=0.276|adoption_activation=0.373,1.00
occ_11_3021_00,0.6339,0.7127,0.4500,0.7906,0.7666,0.8500,0.9270,0.8846,0.9400,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.925|openings_rate_pct=0.417|inverse_unemployment_pct=0.500|btos_adoption_pct=0.776|btos_current_ai_use_pct=0.793|btos_workflow_change_pct=0.741|adoption_activation=1.000,1.00
occ_11_3031_00,0.6798,0.7398,0.5400,0.4399,0.4495,0.8500,0.9339,0.8878,0.9590,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.906|openings_rate_pct=0.567|inverse_unemployment_pct=0.500|btos_adoption_pct=0.397|btos_current_ai_use_pct=0.345|btos_workflow_change_pct=0.379|adoption_activation=0.618,1.00
occ_11_3071_00,0.5440,0.5757,0.4700,0.1251,0.1534,0.8500,0.9184,0.8808,0.9410,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.660|openings_rate_pct=0.450|inverse_unemployment_pct=0.500|btos_adoption_pct=0.034|btos_current_ai_use_pct=0.034|btos_workflow_change_pct=0.034|adoption_activation=0.046,1.00
occ_11_3121_00,0.4854,0.5134,0.4200,0.2560,0.2727,0.8500,0.9098,0.8769,0.8960,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.585|openings_rate_pct=0.367|inverse_unemployment_pct=0.500|btos_adoption_pct=0.190|btos_current_ai_use_pct=0.155|btos_workflow_change_pct=0.207|adoption_activation=0.284,1.00
occ_11_9041_00,0.3649,0.3969,0.2900,0.4358,0.4403,0.8500,0.9262,0.8843,0.9610,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.472|openings_rate_pct=0.150|inverse_unemployment_pct=0.500|btos_adoption_pct=0.362|btos_current_ai_use_pct=0.379|btos_workflow_change_pct=0.431|adoption_activation=0.610,1.00
occ_11_9141_00,0.6343,0.5762,0.7700,0.4756,0.4992,0.8500,0.9484,0.8943,0.9890,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.434|openings_rate_pct=0.950|inverse_unemployment_pct=0.500|btos_adoption_pct=0.431|btos_current_ai_use_pct=0.569|btos_workflow_change_pct=0.172|adoption_activation=0.683,1.00
occ_13_1023_00,0.6669,0.6570,0.6900,0.1485,0.1758,0.8500,0.8982,0.8717,0.8640,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.642|openings_rate_pct=0.817|inverse_unemployment_pct=0.500|btos_adoption_pct=0.069|btos_current_ai_use_pct=0.069|btos_workflow_change_pct=0.069|adoption_activation=0.088,1.00
