"occupation_id","source_id","exposure_score","augmentation_score","automation_score","adaptive_capacity_score","confidence","release_date","notes"
"occ_11_1021_00","src_v2_launch_aggregate_2026_03","0.327","0.317","0.293","0.616","0.65","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.62|job_zone=4|labor_resilience=0.35"
"occ_11_2021_00","src_v2_launch_aggregate_2026_03","0.141","0.140","0.199","0.683","0.64","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=4|labor_resilience=0.47"
"occ_11_2022_00","src_v2_launch_aggregate_2026_03","0.211","0.193","0.354","0.664","0.75","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.96|job_zone=4|labor_resilience=0.40"
"occ_11_3021_00","src_v2_launch_aggregate_2026_03","0.110","0.105","0.189","0.674","0.62","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=4|labor_resilience=0.56"
"occ_11_3031_00","src_v2_launch_aggregate_2026_03","0.173","0.133","0.271","0.633","0.71","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=4|labor_resilience=0.55"
"occ_11_3071_00","src_v2_launch_aggregate_2026_03","0.294","0.277","0.161","0.583","0.45","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.54|job_zone=4|labor_resilience=0.37"
"occ_11_3121_00","src_v2_launch_aggregate_2026_03","0.285","0.272","0.248","0.549","0.70","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.80|job_zone=4|labor_resilience=0.41"
"occ_11_9041_00","src_v2_launch_aggregate_2026_03","0.449","0.521","0.178","0.656","0.62","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.32|job_zone=5|labor_resilience=0.43"
"occ_11_9141_00","src_v2_launch_aggregate_2026_03","0.138","0.183","0.284","0.612","0.66","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.98|job_zone=4|labor_resilience=0.34"
"occ_13_1023_00","src_v2_launch_aggregate_2026_03","0.233","0.281","0.382","0.598","0.79","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.98|job_zone=4|labor_resilience=0.35"
"occ_13_1031_00","src_v2_launch_aggregate_2026_03","0.164","0.185","0.414","0.495","0.63","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.91|job_zone=4|labor_resilience=0.20"
"occ_13_1041_00","src_v2_launch_aggregate_2026_03","0.265","0.366","0.229","0.538","0.61","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.66|job_zone=4|labor_resilience=0.30"
"occ_13_1051_00","src_v2_launch_aggregate_2026_03","0.460","0.405","0.278","0.434","0.60","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.46|job_zone=4|labor_resilience=0.22"
"occ_13_1071_00","src_v2_launch_aggregate_2026_03","0.191","0.291","0.266","0.562","0.72","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=4|labor_resilience=0.33"
"occ_13_1081_00","src_v2_launch_aggregate_2026_03","0.157","0.154","0.087","0.621","0.55","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.87|job_zone=4|labor_resilience=0.47"
"occ_13_1082_00","src_v2_launch_aggregate_2026_03","0.451","0.466","0.217","0.579","0.60","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.37|job_zone=4|labor_resilience=0.35"
"occ_13_1111_00","src_v2_launch_aggregate_2026_03","0.127","0.156","0.219","0.668","0.63","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=4|labor_resilience=0.42"
"occ_13_1151_00","src_v2_launch_aggregate_2026_03","0.180","0.133","0.220","0.621","0.59","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.87|job_zone=4|labor_resilience=0.38"
"occ_13_1161_00","src_v2_launch_aggregate_2026_03","0.136","0.263","0.210","0.547","0.66","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=4|labor_resilience=0.35"
"occ_13_2011_00","src_v2_launch_aggregate_2026_03","0.165","0.122","0.103","0.486","0.57","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.86|job_zone=4|labor_resilience=0.32"
"occ_13_2051_00","src_v2_launch_aggregate_2026_03","0.117","0.144","0.266","0.632","0.67","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=4|labor_resilience=0.35"
"occ_13_2052_00","src_v2_launch_aggregate_2026_03","0.130","0.254","0.308","0.654","0.68","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.94|job_zone=4|labor_resilience=0.41"
"occ_13_2072_00","src_v2_launch_aggregate_2026_03","0.267","0.253","0.460","0.563","0.69","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.83|job_zone=4|labor_resilience=0.27"
"occ_15_1211_00","src_v2_launch_aggregate_2026_03","0.230","0.415","0.208","0.616","0.68","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.98|job_zone=3|labor_resilience=0.38"
"occ_15_1212_00","src_v2_launch_aggregate_2026_03","0.134","0.381","0.195","0.468","0.66","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.97|job_zone=4|labor_resilience=0.63"
"occ_15_1232_00","src_v2_launch_aggregate_2026_03","0.092","0.176","0.125","0.531","0.53","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.98|job_zone=3|labor_resilience=0.18"
