occupation_id,accountability_context,bargaining_power_context,fragmentation_context,accountability_context_confidence,bargaining_context_confidence,fragmentation_context_confidence,ors_guardrail_signal,expert_scarcity_signal,heterogeneity_fragmentation_signal,source_mix,notes
occ_11_1021_00,0.8017,0.6821,0.6220,0.7109,0.7012,0.8000,0.8102,0.6856,0.7254,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.420|people_share=0.430|routine_share=0.120|job_zone_norm=0.750|wage_pct=0.783
occ_11_2021_00,0.7809,0.7211,0.5871,0.6389,0.7006,0.7950,0.8043,0.7248,0.7247,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.880|people_share=0.120|routine_share=0.000|job_zone_norm=0.750|wage_pct=0.950
occ_11_2022_00,0.7761,0.6156,0.5967,0.6749,0.7280,0.8500,0.7976,0.6028,0.6417,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.000|people_share=0.920|routine_share=0.080|job_zone_norm=0.750|wage_pct=0.900
occ_11_3021_00,0.7573,0.7464,0.5822,0.6389,0.6937,0.7850,0.7758,0.7488,0.7098,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.840|people_share=0.000|routine_share=0.000|job_zone_norm=0.750|wage_pct=1.000
occ_11_3031_00,0.7784,0.7221,0.6231,0.7109,0.7169,0.8300,0.8136,0.7093,0.7470,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.640|people_share=0.160|routine_share=0.190|job_zone_norm=0.750|wage_pct=0.967
occ_11_3071_00,0.7030,0.5952,0.6397,0.6389,0.6502,0.7000,0.7265,0.5779,0.7258,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.350|people_share=0.410|routine_share=0.240|job_zone_norm=0.750|wage_pct=0.717
occ_11_3121_00,0.7470,0.6070,0.6381,0.6749,0.7117,0.8250,0.7639,0.5935,0.7198,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.250|people_share=0.350|routine_share=0.340|job_zone_norm=0.750|wage_pct=0.917
occ_11_9041_00,0.7014,0.6373,0.5530,0.6389,0.6936,0.7850,0.7104,0.6572,0.6265,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.330|people_share=0.310|routine_share=0.000|job_zone_norm=1.000|wage_pct=0.983
occ_11_9141_00,0.6516,0.5813,0.5749,0.6749,0.7061,0.8050,0.6638,0.5690,0.6169,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.230|people_share=0.610|routine_share=0.110|job_zone_norm=0.750|wage_pct=0.317
occ_13_1023_00,0.4381,0.5296,0.6538,0.6389,0.7329,0.8700,0.4034,0.5297,0.6814,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.160|people_share=0.530|routine_share=0.060|job_zone_norm=0.750|wage_pct=0.433
