"occupation_id","function_id","function_type","function_weight","delegability_guardrail","source_mix","source_confidence","notes"
"occ_11_1021_00","fn_occ_11_1021_00_people_resource_leadership","supplemental_function_anchor","0.2537","0.6620","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_11_1021_00","fn_occ_11_1021_00_primary","primary_function_anchor","0.7463","0.6364","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_function_anchor"
"occ_11_2021_00","fn_occ_11_2021_00_primary","primary_function_anchor","0.7463","0.5376","src_role_function_seed_2026_03","0.7400","reviewed_primary_function_anchor"
"occ_11_2021_00","fn_occ_11_2021_00_team_budget_orchestration","supplemental_function_anchor","0.2537","0.6068","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_11_2022_00","fn_occ_11_2022_00_primary","primary_function_anchor","0.7463","0.6088","src_role_function_seed_2026_03","0.7400","reviewed_primary_function_anchor"
"occ_11_2022_00","fn_occ_11_2022_00_team_commercial_direction","supplemental_function_anchor","0.2537","0.6756","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_11_3021_00","fn_occ_11_3021_00_portfolio_delivery_leadership","supplemental_function_anchor","0.2537","0.6764","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_11_3021_00","fn_occ_11_3021_00_primary","primary_function_anchor","0.7463","0.7064","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_function_anchor"
"occ_11_3031_00","fn_occ_11_3031_00_primary","primary_function_anchor","0.7463","0.6636","src_role_function_seed_2026_03","0.7400","reviewed_primary_function_anchor"
"occ_11_3031_00","fn_occ_11_3031_00_resource_allocation_leadership","supplemental_function_anchor","0.2537","0.7266","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_11_3071_00","fn_occ_11_3071_00_distribution_network_leadership","supplemental_function_anchor","0.2537","0.6740","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_11_3071_00","fn_occ_11_3071_00_primary","primary_function_anchor","0.7463","0.5642","src_role_function_seed_2026_03","0.7400","reviewed_primary_function_anchor"
"occ_11_3121_00","fn_occ_11_3121_00_manager_coaching_enablement","supplemental_function_anchor","0.2537","0.7242","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_11_3121_00","fn_occ_11_3121_00_primary","primary_function_anchor","0.7463","0.7730","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_function_anchor"
"occ_11_9041_00","fn_occ_11_9041_00_primary","primary_function_anchor","0.7463","0.7052","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_function_anchor"
"occ_11_9041_00","fn_occ_11_9041_00_technical_signoff_stewardship","supplemental_function_anchor","0.2537","0.7140","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_11_9141_00","fn_occ_11_9141_00_primary","primary_function_anchor","0.7463","0.5642","src_role_function_seed_2026_03","0.7400","reviewed_primary_function_anchor"
"occ_11_9141_00","fn_occ_11_9141_00_resident_vendor_stewardship","supplemental_function_anchor","0.2537","0.6228","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_13_1023_00","fn_occ_13_1023_00_primary","primary_function_anchor","0.7463","0.6448","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_function_anchor"
"occ_13_1023_00","fn_occ_13_1023_00_vendor_relationship_stewardship","supplemental_function_anchor","0.2537","0.6216","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_13_1031_00","fn_occ_13_1031_00_investigation_coordination","supplemental_function_anchor","0.2537","0.6874","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
