occupation_id,onet_soc_code,acs_reference_year,acs_release_label,acs_socp_code,acs_query_mode,sample_record_count,employed_record_count,weighted_worker_count,wage_record_count,median_wage_usd,wage_p25_usd,wage_p75_usd,wage_dispersion_ratio,wage_dispersion_percentile,education_dispersion,industry_dispersion,class_of_worker_dispersion,age_band_dispersion,sex_mix_balance,worker_mix_dispersion,heterogeneity_index,acs_confidence,source_mix,notes
occ_11_1021_00,11-1021.00,2024,acs_1yr_pums,111021,exact_socp,15348,13484,1448155.000,13225,81000.000,57000.000,120000.000,0.778,0.618,0.815,0.976,0.339,0.773,0.750,0.656,0.800,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=15348|employed_records=13484|wage_record_share=0.981|query_mode=exact_socp
occ_11_2021_00,11-2021.00,2024,acs_1yr_pums,112021,exact_socp,7425,6399,674340.000,6187,90000.000,58000.000,142000.000,0.933,0.764,0.607,0.973,0.332,0.756,0.714,0.635,0.772,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=7425|employed_records=6399|wage_record_share=0.967|query_mode=exact_socp
occ_11_2022_00,11-2022.00,2024,acs_1yr_pums,112022,exact_socp,6734,5897,616670.000,5817,105000.000,68000.000,170000.000,0.971,0.818,0.722,0.980,0.156,0.781,0.687,0.592,0.805,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=6734|employed_records=5897|wage_record_share=0.986|query_mode=exact_socp
occ_11_3021_00,11-3021.00,2024,acs_1yr_pums,113021,exact_socp,7683,6753,675833.000,6705,131000.000,90000.000,180000.000,0.687,0.400,0.718,0.920,0.428,0.752,0.524,0.591,0.700,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=7683|employed_records=6753|wage_record_share=0.993|query_mode=exact_socp
occ_11_3031_00,11-3031.00,2024,acs_1yr_pums,113031,exact_socp,17602,15210,1538148.000,15047,95000.000,60000.000,150000.000,0.947,0.782,0.755,0.873,0.317,0.780,0.894,0.704,0.791,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=17602|employed_records=15210|wage_record_share=0.989|query_mode=exact_socp
occ_11_3071_00,11-3071.00,2024,acs_1yr_pums,113071,exact_socp,3992,3375,358011.000,3322,65000.000,45000.000,92000.000,0.723,0.527,0.837,0.977,0.322,0.784,0.444,0.549,0.766,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=3992|employed_records=3375|wage_record_share=0.984|query_mode=exact_socp
occ_11_3121_00,11-3121.00,2024,acs_1yr_pums,113121,exact_socp,3460,2921,303197.000,2896,100000.000,70000.000,140000.000,0.700,0.436,0.731,0.985,0.487,0.773,0.484,0.601,0.735,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=3460|employed_records=2921|wage_record_share=0.991|query_mode=exact_socp
occ_11_9041_00,11-9041.00,2024,acs_1yr_pums,119041,exact_socp,2991,2608,243746.000,2597,160000.000,120000.000,214000.000,0.588,0.145,0.680,0.960,0.194,0.748,0.257,0.438,0.622,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=2991|employed_records=2608|wage_record_share=0.996|query_mode=exact_socp
occ_11_9141_00,11-9141.00,2024,acs_1yr_pums,119141,exact_socp,7409,5998,640290.000,5304,60000.000,38000.000,95000.000,0.950,0.800,0.818,0.634,0.542,0.791,0.909,0.770,0.741,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=7409|employed_records=5998|wage_record_share=0.884|query_mode=exact_socp
occ_13_1023_00,13-1023.00,2024,acs_1yr_pums,131023,exact_socp,3964,3294,327476.000,3236,65000.000,48100.000,90000.000,0.645,0.291,0.804,0.983,0.449,0.789,0.930,0.753,0.754,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=3964|employed_records=3294|wage_record_share=0.982|query_mode=exact_socp
occ_13_1031_00,13-1031.00,2024,acs_1yr_pums,131030,grouped_zero_fallback,4303,3711,393829.000,3643,65000.000,48000.000,85000.000,0.569,0.091,0.788,0.591,0.331,0.783,0.761,0.663,0.555,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=4303|employed_records=3711|wage_record_share=0.982|query_mode=grouped_zero_fallback
occ_13_1041_00,13-1041.00,2024,acs_1yr_pums,131041,exact_socp,4284,3714,362707.000,3692,77000.000,54000.000,110000.000,0.727,0.545,0.776,0.969,0.642,0.782,0.870,0.778,0.798,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=4284|employed_records=3714|wage_record_share=0.994|query_mode=exact_socp
