occupation_id,onet_soc_code,observed_exposure,observed_exposure_pct,ai_adoption_context,adoption_realization_context,individual_vs_org_gap,gap_direction,calibration_flag,source_id
occ_11_1021_00,11-1021.00,0.1378,0.0968,0.1254,0.2869,-0.0286,aligned,ok,src_aei_labor_market_2026_03
occ_13_1041_00,13-1041.00,0.1211,0.0645,0.3609,0.4334,-0.2964,org_higher,review,src_aei_labor_market_2026_03
occ_13_1071_00,13-1071.00,0.4034,0.6452,0.3183,0.4236,0.3269,individual_higher,review,src_aei_labor_market_2026_03
occ_13_1081_00,13-1081.00,0.1571,0.1613,0.1621,0.3499,-0.0008,aligned,ok,src_aei_labor_market_2026_03
occ_13_1082_00,13-1082.00,,,0.5004,0.5373,,,no_data,
occ_13_1111_00,13-1111.00,0.2435,0.3226,0.8794,0.8575,-0.5568,org_higher,review,src_aei_labor_market_2026_03
occ_13_1151_00,13-1151.00,0.2793,0.4516,0.2726,0.4096,0.1790,individual_higher,watch,src_aei_labor_market_2026_03
occ_13_1161_00,13-1161.00,0.6483,0.9677,0.6974,0.7175,0.2703,individual_higher,review,src_aei_labor_market_2026_03
occ_13_1199_00,13-1199.00,0.1846,0.2258,0.3486,0.4532,-0.1228,org_higher,watch,src_aei_labor_market_2026_03
occ_13_2011_00,13-2011.00,0.3478,0.5806,0.5635,0.5902,0.0171,aligned,ok,src_aei_labor_market_2026_03
occ_13_2051_00,13-2051.00,0.5716,0.9355,0.4669,0.5120,0.4686,individual_higher,review,src_aei_labor_market_2026_03
occ_15_1211_00,15-1211.00,0.2763,0.4194,0.5302,0.5812,-0.1108,org_higher,watch,src_aei_labor_market_2026_03
occ_15_1252_00,15-1252.00,0.2880,0.4839,0.8454,0.8071,-0.3615,org_higher,review,src_aei_labor_market_2026_03
occ_15_1254_00,15-1254.00,0.4802,0.8710,0.8285,0.7889,0.0425,aligned,ok,src_aei_labor_market_2026_03
occ_15_2031_00,15-2031.00,0.4288,0.6774,0.5726,0.6121,0.1048,individual_higher,watch,src_aei_labor_market_2026_03
occ_15_2051_00,15-2051.00,0.4605,0.8065,0.4500,0.4268,0.3565,individual_higher,review,src_aei_labor_market_2026_03
occ_17_2072_00,17-2072.00,0.0999,0.0323,0.4301,0.4989,-0.3978,org_higher,review,src_aei_labor_market_2026_03
occ_17_2141_00,17-2141.00,0.0813,0.0000,0.0971,0.2746,-0.0971,aligned,ok,src_aei_labor_market_2026_03
occ_23_1011_00,23-1011.00,0.1673,0.1935,0.4500,0.3750,-0.2565,org_higher,review,src_aei_labor_market_2026_03
occ_23_2011_00,23-2011.00,0.2927,0.5161,0.9034,0.9005,-0.3873,org_higher,review,src_aei_labor_market_2026_03
occ_27_1024_00,27-1024.00,0.3672,0.6129,0.7940,0.7958,-0.1811,org_higher,watch,src_aei_labor_market_2026_03
occ_27_3023_00,27-3023.00,0.2098,0.2581,0.9984,0.9484,-0.7403,org_higher,review,src_aei_labor_market_2026_03
occ_27_3031_00,27-3031.00,0.4530,0.7742,0.6691,0.7096,0.1051,individual_higher,watch,src_aei_labor_market_2026_03
occ_27_3041_00,27-3041.00,0.2460,0.3548,0.9405,0.9191,-0.5857,org_higher,review,src_aei_labor_market_2026_03
occ_27_3042_00,27-3042.00,0.4747,0.8387,0.5835,0.6310,0.2552,individual_higher,review,src_aei_labor_market_2026_03
occ_27_3043_00,27-3043.00,0.2462,0.3871,0.7638,0.8249,-0.3767,org_higher,review,src_aei_labor_market_2026_03
occ_41_3011_00,41-3011.00,0.1482,0.1290,0.9702,0.8625,-0.8412,org_higher,review,src_aei_labor_market_2026_03
occ_41_3091_00,41-3091.00,,,0.6610,0.6662,,,no_data,
occ_43_3031_00,43-3031.00,0.3104,0.5484,0.2863,0.4210,0.2621,individual_higher,review,src_aei_labor_market_2026_03
occ_43_4051_00,43-4051.00,0.7011,1.0000,0.1605,0.3369,0.8395,individual_higher,review,src_aei_labor_market_2026_03
occ_43_6011_00,43-6011.00,0.2336,0.2903,0.4289,0.5029,-0.1386,org_higher,watch,src_aei_labor_market_2026_03
occ_43_6014_00,43-6014.00,0.4528,0.7419,0.2364,0.3813,0.5055,individual_higher,review,src_aei_labor_market_2026_03
occ_43_9061_00,43-9061.00,0.4504,0.7097,0.1996,0.3494,0.5101,individual_higher,review,src_aei_labor_market_2026_03
occ_43_9111_00,43-9111.00,0.5099,0.9032,0.7276,0.7323,0.1756,individual_higher,watch,src_aei_labor_market_2026_03
