"occupation_id","onet_soc_code","bls_occ_code","ors_reference_year","ors_reference_wave","interaction_intensity","external_interaction_intensity","internal_interaction_intensity","people_skill_intensity","speaking_intensity","autonomy_intensity","review_intensity","pause_control_share","self_paced_share","supervisor_present_share","supervising_others_share","pace_constraint_intensity","people_control_share","software_control_share","target_control_share","fast_pace_share","telework_ability_share","work_schedule_variability_share","human_constraint_index","ors_confidence","source_mix","notes"
"occ_11_1021_00","11-1021.00","111021","2025","third_wave_preliminary","0.703","0.660","0.851","","0.621","0.914","0.120","0.957","0.877","0.252","0.984","0.315","0.123","","","0.656","0.265","0.341","0.893","0.824","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.91|stability=0.72"
"occ_11_2021_00","11-2021.00","112021","2025","third_wave_preliminary","0.485","0.374","0.738","","0.534","0.947","","","0.992","","0.828","0.779","","","","0.779","0.887","0.236","0.746","0.724","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.73|stability=0.72"
"occ_11_2022_00","11-2022.00","112022","2025","third_wave_preliminary","0.764","0.791","0.781","","0.597","0.928","0.158","","0.964","0.210","0.947","0.249","0.036","","","0.628","0.689","0.294","0.895","0.774","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.82|stability=0.72"
"occ_11_3021_00","11-3021.00","113021","2025","third_wave_preliminary","0.481","0.485","0.459","","0.506","0.920","0.145","","0.961","0.470","0.897","0.263","0.039","","","0.661","","0.331","0.872","0.724","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.73|stability=0.72"
"occ_11_3031_00","11-3031.00","113031","2025","third_wave_preliminary","0.593","0.538","0.765","","0.530","0.918","0.121","0.988","0.874","0.257","0.969","0.292","0.126","","","0.588","0.411","0.227","0.898","0.824","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.91|stability=0.72"
"occ_11_3071_00","11-3071.00","113071","2025","third_wave_preliminary","0.680","0.618","0.858","","0.628","0.893","0.158","","0.919","0.188","","0.302","0.081","","","0.696","0.144","0.329","0.828","0.724","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.73|stability=0.72"
"occ_11_3121_00","11-3121.00","113121","2025","third_wave_preliminary","0.629","0.550","0.846","","0.593","0.897","0.134","","0.910","0.427","0.904","0.312","0.090","","","0.708","0.540","0.078","0.853","0.774","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.82|stability=0.72"
"occ_11_9041_00","11-9041.00","119041","2025","third_wave_preliminary","0.571","0.451","0.833","","0.647","0.938","0.142","","0.978","0.184","","0.682","","","","0.682","0.530","0.114","0.731","0.724","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.73|stability=0.72"
"occ_11_9141_00","11-9141.00","119141","2025","third_wave_preliminary","0.676","0.668","0.740","","0.588","0.794","0.093","","0.769","0.163","0.710","0.292","0.231","","","0.401","0.201","0.225","0.747","0.774","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.82|stability=0.72"
"occ_13_1023_00","13-1023.00","131023","2025","third_wave_preliminary","0.698","0.718","0.723","","0.553","0.562","0.239","","0.611","0.581","0.166","0.385","0.385","","","","0.380","0.162","0.442","0.724","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.73|stability=0.72"
