occupation_id,workflow_compression_context,organizational_conversion_context,next_scenario_lift,distant_scenario_lift,organizational_adoption_ceiling,economic_pressure_context,wave_acceleration_context,displacement_wave_bias,recomposition_context_confidence,source_mix,notes
occ_11_1021_00,0.2551,0.2898,0.3084,0.4381,0.3092,0.4068,0.3084,0.3702,0.8552,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.120|people_share=0.430|knowledge_share=0.420|job_zone_norm=0.750|adoption_realization_context=0.214|demand_expansion_context=0.480|organizational_adoption_ceiling=0.309|economic_pressure_context=0.407
occ_11_2021_00,0.4324,0.5572,0.4997,0.6285,0.6201,0.3627,0.4997,0.5271,0.8620,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.000|people_share=0.120|knowledge_share=0.880|job_zone_norm=0.750|adoption_realization_context=0.610|demand_expansion_context=0.576|organizational_adoption_ceiling=0.620|economic_pressure_context=0.363
occ_11_2022_00,0.2543,0.3150,0.3268,0.4560,0.3251,0.4396,0.3268,0.3485,0.8851,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.080|people_share=0.920|knowledge_share=0.000|job_zone_norm=0.750|adoption_realization_context=0.323|demand_expansion_context=0.465|organizational_adoption_ceiling=0.325|economic_pressure_context=0.440
occ_11_3021_00,0.5333,0.6633,0.5998,0.7340,0.7666,0.4051,0.5998,0.6197,0.8443,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.000|people_share=0.000|knowledge_share=0.840|job_zone_norm=0.750|adoption_realization_context=0.767|demand_expansion_context=0.634|organizational_adoption_ceiling=0.767|economic_pressure_context=0.405
occ_11_3031_00,0.4159,0.4907,0.4742,0.6034,0.5302,0.4622,0.4742,0.5239,0.8681,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.190|people_share=0.160|knowledge_share=0.640|job_zone_norm=0.750|adoption_realization_context=0.450|demand_expansion_context=0.680|organizational_adoption_ceiling=0.530|economic_pressure_context=0.462
occ_11_3071_00,0.2656,0.2726,0.3093,0.4386,0.2817,0.4559,0.3093,0.3823,0.8080,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.240|people_share=0.410|knowledge_share=0.350|job_zone_norm=0.750|adoption_realization_context=0.153|demand_expansion_context=0.544|organizational_adoption_ceiling=0.282|economic_pressure_context=0.456
occ_11_3121_00,0.3681,0.3439,0.3852,0.5129,0.3537,0.5105,0.3852,0.4553,0.8465,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.340|people_share=0.350|knowledge_share=0.250|job_zone_norm=0.750|adoption_realization_context=0.273|demand_expansion_context=0.485|organizational_adoption_ceiling=0.354|economic_pressure_context=0.511
occ_11_9041_00,0.3471,0.3892,0.3916,0.5235,0.4403,0.4031,0.3916,0.4421,0.8483,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.000|people_share=0.310|knowledge_share=0.330|job_zone_norm=1.000|adoption_realization_context=0.440|demand_expansion_context=0.365|organizational_adoption_ceiling=0.440|economic_pressure_context=0.403
occ_11_9141_00,0.3756,0.5114,0.4848,0.6143,0.5309,0.5286,0.4848,0.5026,0.8683,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.110|people_share=0.610|knowledge_share=0.230|job_zone_norm=0.750|adoption_realization_context=0.499|demand_expansion_context=0.634|organizational_adoption_ceiling=0.531|economic_pressure_context=0.529
occ_13_1023_00,0.2208,0.3102,0.3294,0.4632,0.3248,0.5031,0.3294,0.3905,0.8548,src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_demand_adoption_context_2026_03,routine_share=0.060|people_share=0.530|knowledge_share=0.160|job_zone_norm=0.750|adoption_realization_context=0.176|demand_expansion_context=0.667|organizational_adoption_ceiling=0.325|economic_pressure_context=0.503
