"occupation_id","task_cluster_id","share_prior","importance_prior","evidence_confidence","source_mix","notes"
"occ_11_1021_00","cluster_client_interaction","0.2065","0.73","0.48","src_onet_30_1","onet_keyword_inference"
"occ_11_1021_00","cluster_coordination","0.2208","0.74","0.44","src_onet_30_1","onet_keyword_inference"
"occ_11_1021_00","cluster_decision_support","0.0149","0.45","0.56","src_onet_30_1","onet_keyword_inference"
"occ_11_1021_00","cluster_drafting","0.0372","0.57","0.46","src_onet_30_1","onet_keyword_inference"
"occ_11_1021_00","cluster_oversight_strategy","0.3716","0.72","0.48","src_onet_30_1","onet_keyword_inference"
"occ_11_1021_00","cluster_qa_review","0.0262","0.79","0.47","src_onet_30_1","onet_keyword_inference"
"occ_11_1021_00","cluster_workflow_admin","0.1228","0.74","0.45","src_onet_30_1","onet_keyword_inference"
"occ_11_2021_00","cluster_client_interaction","0.0603","0.64","0.45","src_onet_30_1","onet_keyword_inference"
"occ_11_2021_00","cluster_coordination","0.0292","0.60","0.48","src_onet_30_1","onet_keyword_inference"
"occ_11_2021_00","cluster_decision_support","0.0311","0.64","0.51","src_onet_30_1","onet_keyword_inference"
"occ_11_2021_00","cluster_drafting","0.2567","0.75","0.47","src_onet_30_1","onet_keyword_inference"
"occ_11_2021_00","cluster_execution_routine","0.0258","0.53","0.47","src_onet_30_1","onet_keyword_inference"
"occ_11_2021_00","cluster_oversight_strategy","0.3469","0.75","0.55","src_onet_30_1","onet_keyword_inference"
"occ_11_2021_00","cluster_relationship_management","0.0263","0.54","0.40","src_onet_30_1","onet_keyword_inference"
"occ_11_2021_00","cluster_research_synthesis","0.2237","0.60","0.41","src_onet_30_1","onet_keyword_inference"
"occ_11_2022_00","cluster_analysis","0.0247","0.56","0.45","src_onet_30_1","onet_keyword_inference"
"occ_11_2022_00","cluster_client_interaction","0.5139","0.79","0.49","src_onet_30_1","onet_keyword_inference"
"occ_11_2022_00","cluster_coordination","0.0888","0.69","0.47","src_onet_30_1","onet_keyword_inference"
"occ_11_2022_00","cluster_documentation","0.0574","0.68","0.51","src_onet_30_1","onet_keyword_inference"
"occ_11_2022_00","cluster_drafting","0.0654","0.74","0.44","src_onet_30_1","onet_keyword_inference"
"occ_11_2022_00","cluster_oversight_strategy","0.2223","0.87","0.56","src_onet_30_1","onet_keyword_inference"
"occ_11_2022_00","cluster_relationship_management","0.0274","0.62","0.36","src_onet_30_1","onet_keyword_inference"
"occ_11_3021_00","cluster_analysis","0.1427","0.73","0.49","src_onet_30_1","onet_keyword_inference"
"occ_11_3021_00","cluster_decision_support","0.0361","0.68","0.47","src_onet_30_1","onet_keyword_inference"
"occ_11_3021_00","cluster_drafting","0.3777","0.71","0.38","src_onet_30_1","onet_keyword_inference"
"occ_11_3021_00","cluster_oversight_strategy","0.2534","0.80","0.45","src_onet_30_1","onet_keyword_inference"
"occ_11_3021_00","cluster_qa_review","0.1519","0.72","0.48","src_onet_30_1","onet_keyword_inference"
"occ_11_3021_00","cluster_relationship_management","0.0382","0.72","0.47","src_onet_30_1","onet_keyword_inference"
"occ_11_3031_00","cluster_analysis","0.3395","0.71","0.52","src_onet_30_1","onet_keyword_inference"
"occ_11_3031_00","cluster_client_interaction","0.1115","0.82","0.48","src_onet_30_1","onet_keyword_inference"
"occ_11_3031_00","cluster_coordination","0.1468","0.78","0.46","src_onet_30_1","onet_keyword_inference"
"occ_11_3031_00","cluster_decision_support","0.0951","0.70","0.48","src_onet_30_1","onet_keyword_inference"
"occ_11_3031_00","cluster_documentation","0.1570","0.79","0.45","src_onet_30_1","onet_keyword_inference"
"occ_11_3031_00","cluster_oversight_strategy","0.1136","0.77","0.47","src_onet_30_1","onet_keyword_inference"
"occ_11_3031_00","cluster_qa_review","0.0177","0.65","0.48","src_onet_30_1","onet_keyword_inference"
"occ_11_3031_00","cluster_relationship_management","0.0188","0.69","0.47","src_onet_30_1","onet_keyword_inference"
"occ_11_3071_00","cluster_analysis","0.0685","0.72","0.46","src_onet_30_1","onet_keyword_inference"
"occ_11_3071_00","cluster_client_interaction","0.0683","0.73","0.48","src_onet_30_1","onet_keyword_inference"
"occ_11_3071_00","cluster_coordination","0.1897","0.73","0.39","src_onet_30_1","onet_keyword_inference"
"occ_11_3071_00","cluster_decision_support","0.1558","0.66","0.48","src_onet_30_1","onet_keyword_inference"
"occ_11_3071_00","cluster_documentation","0.0667","0.69","0.57","src_onet_30_1","onet_keyword_inference"
"occ_11_3071_00","cluster_drafting","0.0350","0.75","0.50","src_onet_30_1","onet_keyword_inference"
"occ_11_3071_00","cluster_execution_routine","0.0711","0.67","0.48","src_onet_30_1","onet_keyword_inference"
"occ_11_3071_00","cluster_oversight_strategy","0.1503","0.76","0.47","src_onet_30_1","onet_keyword_inference"
"occ_11_3071_00","cluster_qa_review","0.1634","0.87","0.49","src_onet_30_1","onet_keyword_inference"
"occ_11_3071_00","cluster_relationship_management","0.0152","0.64","0.45","src_onet_30_1","onet_keyword_inference"
"occ_11_3071_00","cluster_workflow_admin","0.0159","0.67","0.44","src_onet_30_1","onet_keyword_inference"
"occ_11_3121_00","cluster_analysis","0.0479","0.69","0.46","src_onet_30_1","onet_keyword_inference"
"occ_11_3121_00","cluster_coordination","0.1812","0.86","0.49","src_onet_30_1","onet_keyword_inference"
"occ_11_3121_00","cluster_decision_support","0.0759","0.72","0.44","src_onet_30_1","onet_keyword_inference"
"occ_11_3121_00","cluster_documentation","0.0245","0.69","0.66","src_onet_30_1","onet_keyword_inference"
"occ_11_3121_00","cluster_drafting","0.0677","0.64","0.47","src_onet_30_1","onet_keyword_inference"
