"occupation_id","core_task_share","support_task_share","mean_value_centrality","mean_bargaining_power_weight","dependency_density","coverage_gap_flag","review_status","notes"
"occ_11_1021_00","0.7707","0.2009","0.8047","0.7808","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_11_2021_00","0.6420","0.2710","0.7361","0.7523","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_11_2022_00","0.8619","0.1204","0.8484","0.8331","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_11_3021_00","0.6704","0.3297","0.7733","0.7284","0.5714","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_11_3031_00","0.7095","0.2784","0.7724","0.7064","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_11_3071_00","0.7788","0.1854","0.7745","0.7522","0.8966","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_11_3121_00","0.7530","0.2235","0.7443","0.6643","0.8462","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_11_9041_00","0.6780","0.2730","0.7522","0.7473","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_11_9141_00","0.6429","0.3371","0.7741","0.7331","0.6410","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1023_00","0.7933","0.1949","0.8068","0.7294","0.5138","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1031_00","0.9109","0.0679","0.8389","0.7232","0.3977","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1041_00","0.7560","0.2438","0.7845","0.7134","0.9211","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1051_00","0.6897","0.3104","0.7515","0.6831","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1071_00","0.7095","0.2809","0.8003","0.7436","0.6207","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1081_00","0.6995","0.3003","0.8266","0.8055","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1082_00","0.3725","0.5901","0.6403","0.6662","0.8333","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1111_00","0.9359","0.0642","0.8342","0.7753","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1151_00","0.6702","0.2967","0.7355","0.7028","0.6884","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1161_00","0.8583","0.1419","0.8183","0.7523","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1199_00","0.7065","0.2484","0.7409","0.6978","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_2011_00","0.5993","0.3503","0.7327","0.6798","0.4451","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_2051_00","0.2090","0.7899","0.6192","0.6280","0.4713","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_2052_00","0.8391","0.0921","0.7413","0.7674","0.3095","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_2072_00","0.5154","0.4843","0.7290","0.6881","0.6595","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_15_1211_00","0.6405","0.3330","0.7379","0.6918","0.7385","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_15_1212_00","0.5551","0.4449","0.7263","0.5936","1.0000","true","needs_task_expansion","seeded_role_graph_thin_task_coverage"
"occ_15_1232_00","0.7224","0.2536","0.7840","0.7207","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_15_1241_00","0.4604","0.5014","0.6825","0.6774","0.4640","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_15_1244_00","0.5982","0.3643","0.7077","0.6423","0.7895","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_15_1252_00","0.5760","0.3713","0.7008","0.5980","0.9048","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_15_1253_00","0.7732","0.2270","0.7915","0.6669","0.4253","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_15_1254_00","0.7777","0.1827","0.7549","0.6548","0.4735","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_15_2031_00","0.9424","0.0573","0.8430","0.8237","0.7619","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_15_2051_00","0.4094","0.5915","0.6578","0.6452","0.7368","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_17_2051_00","0.8578","0.0811","0.7784","0.7225","0.7105","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_17_2071_00","0.5244","0.3772","0.6744","0.5972","0.6710","false","seeded_role_graph","seeded_role_graph_ready_for_review"
