"occupation_id","onet_task_id","task_statement","task_type","importance","frequency","source_mix","notes"
"occ_11_1021_00","19501","Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.","Supplemental","0.53","0.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20699","Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.","Core","0.79","0.03","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20700","Direct administrative activities directly related to making products or providing services.","Core","0.75","1.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20701","Prepare staff work schedules and assign specific duties.","Core","0.74","1.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20702","Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.","Core","0.61","0.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20703","Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.","Core","0.72","0.21","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20704","Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.","Core","0.69","0.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20705","Perform personnel functions, such as selection, training, or evaluation.","Core","0.70","0.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20706","Plan or direct activities, such as sales promotions, that require coordination with other department managers.","Core","0.71","0.75","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20707","Set prices or credit terms for goods or services, based on forecasts of customer demand.","Supplemental","0.75","0.70","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20708","Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.","Supplemental","0.76","0.83","src_onet_30_1","onet_normalized"
"occ_11_1021_00","933","Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.","Core","0.78","1.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","944","Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.","Supplemental","0.72","1.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","945","Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.","Supplemental","0.64","0.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","947","Direct non-merchandising departments of businesses, such as advertising or purchasing.","Supplemental","0.63","0.35","src_onet_30_1","onet_normalized"
"occ_11_1021_00","948","Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.","Supplemental","0.45","0.20","src_onet_30_1","onet_normalized"
"occ_11_1021_00","949","Plan store layouts or design displays.","Supplemental","0.48","0.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","19502","Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.","Supplemental","0.60","0.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","19503","Develop business cases for environmental marketing strategies.","Supplemental","0.42","0.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","19504","Integrate environmental information into product or company marketing strategies, policies, or activities.","Supplemental","0.40","0.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","19505","Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.","Supplemental","0.53","0.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","20709","Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.","Core","0.81","1.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","950","Develop pricing strategies, balancing firm objectives and customer satisfaction.","Core","0.72","0.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","951","Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.","Core","0.82","0.87","src_onet_30_1","onet_normalized"
"occ_11_2021_00","952","Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.","Core","0.75","0.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","954","Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.","Core","0.67","0.92","src_onet_30_1","onet_normalized"
"occ_11_2021_00","955","Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.","Core","0.63","0.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","956","Consult with product development personnel on product specifications, such as design, color, or packaging.","Core","0.66","0.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","957","Compile lists describing product or service offerings.","Core","0.68","0.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","958","Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.","Core","0.64","0.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","959","Select products or accessories to be displayed at trade or special production shows.","Supplemental","0.43","0.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","960","Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.","Core","0.54","0.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","961","Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.","Core","0.60","0.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","962","Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.","Supplemental","0.52","0.00","src_onet_30_1","onet_normalized"
"occ_11_2021_00","963","Initiate market research studies, or analyze their findings.","Core","0.60","0.01","src_onet_30_1","onet_normalized"
