"from_occupation_id","to_occupation_id","adjacency_score","adjacency_type","source","confidence","notes"
"occ_11_1021_00","occ_13_1082_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_11_2021_00","occ_13_1161_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_11_2022_00","occ_41_3091_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_11_3021_00","occ_15_1252_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_11_3031_00","occ_13_2011_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_11_3071_00","occ_43_4051_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_11_3121_00","occ_13_1071_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_11_9041_00","occ_17_2141_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_11_9141_00","occ_43_4051_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_13_1023_00","occ_43_4051_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_13_1031_00","occ_43_4051_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_13_1041_00","occ_43_4051_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_13_1051_00","occ_43_4051_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_13_1071_00","occ_13_1151_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_13_1081_00","occ_43_4051_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_13_1082_00","occ_11_1021_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_13_1151_00","occ_13_1071_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_13_1161_00","occ_11_2021_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_13_2011_00","occ_13_2051_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_13_2051_00","occ_13_2011_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_13_2052_00","occ_13_2011_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_13_2072_00","occ_13_2011_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_15_1211_00","occ_15_1252_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_15_1212_00","occ_15_1252_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_15_1232_00","occ_15_1252_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_15_1241_00","occ_15_1252_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_15_1244_00","occ_15_1252_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_15_1252_00","occ_15_1211_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_15_1253_00","occ_15_1252_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_17_2051_00","occ_17_2141_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_17_2071_00","occ_17_2141_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_17_2072_00","occ_17_2141_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_17_2112_00","occ_17_2141_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_17_2141_00","occ_17_2072_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_23_1011_00","occ_23_2011_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_23_2011_00","occ_23_1011_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_27_1024_00","occ_27_3043_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_27_3023_00","occ_27_3031_00","0.45","cross_family_adjacent","generated_stub","0.34","launch_stub_generated"
"occ_27_3031_00","occ_13_1161_00","0.45","cross_family_adjacent","generated_stub","0.34","launch_stub_generated"
"occ_27_3041_00","occ_27_3042_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_27_3042_00","occ_27_3041_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_27_3043_00","occ_27_1024_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_41_3011_00","occ_41_3091_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_41_3021_00","occ_41_3091_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_41_3031_00","occ_41_3091_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_41_3091_00","occ_41_3011_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_41_4011_00","occ_41_3091_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_43_1011_00","occ_43_4051_00","0.45","cross_family_adjacent","generated_stub","0.34","launch_stub_generated"
"occ_43_3021_00","occ_13_2011_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_43_3031_00","occ_13_2011_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_43_4031_00","occ_23_1011_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_43_4051_00","occ_13_1081_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_43_4131_00","occ_13_2011_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_43_4171_00","occ_43_4051_00","0.45","cross_family_adjacent","generated_stub","0.34","launch_stub_generated"
"occ_43_6011_00","occ_43_4051_00","0.45","cross_family_adjacent","generated_stub","0.34","launch_stub_generated"
"occ_43_6014_00","occ_43_4051_00","0.45","cross_family_adjacent","generated_stub","0.34","launch_stub_generated"
"occ_43_9041_00","occ_43_4051_00","0.55","family_adjacent","generated_stub","0.42","launch_stub_generated"
"occ_43_9061_00","occ_43_4051_00","0.45","cross_family_adjacent","generated_stub","0.34","launch_stub_generated"
