"occupation_id","onet_soc_code","title","title_short","role_family","is_active","selection_priority","notes"
"occ_11_1021_00","11-1021.00","General and Operations Managers","Operations Manager","product_management","1","0.82","onet_normalized"
"occ_11_2021_00","11-2021.00","Marketing Managers","Marketing Manager","marketing","1","0.71","onet_normalized"
"occ_11_2022_00","11-2022.00","Sales Managers","Sales Manager","sales","1","0.74","onet_normalized"
"occ_11_3021_00","11-3021.00","Computer and Information Systems Managers","IT Manager","software","1","0.75","onet_normalized"
"occ_11_3031_00","11-3031.00","Financial Managers","Financial Manager","finance","1","0.81","onet_normalized"
"occ_11_3071_00","11-3071.00","Transportation, Storage, and Distribution Managers","Distribution Manager","operations","1","0.66","onet_normalized"
"occ_11_3121_00","11-3121.00","Human Resources Managers","HR Manager","hr","1","0.70","onet_normalized"
"occ_11_9041_00","11-9041.00","Architectural and Engineering Managers","Engineering Manager","engineering","1","0.68","onet_normalized"
"occ_11_9141_00","11-9141.00","Property, Real Estate, and Community Association Managers","Property Manager","operations","1","0.67","onet_normalized"
"occ_13_1023_00","13-1023.00","Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agent","operations","1","0.75","onet_normalized"
"occ_13_1031_00","13-1031.00","Claims Adjusters, Examiners, and Investigators","Claims Adjuster","operations","1","0.73","onet_normalized"
"occ_13_1041_00","13-1041.00","Compliance Officers","Compliance Officer","operations","1","0.76","onet_normalized"
"occ_13_1051_00","13-1051.00","Cost Estimators","Cost Estimator","operations","1","0.67","onet_normalized"
"occ_13_1071_00","13-1071.00","Human Resources Specialists","HR Specialist","hr","1","0.85","onet_normalized"
"occ_13_1081_00","13-1081.00","Logisticians","Logistician","operations","1","0.77","onet_normalized"
"occ_13_1082_00","13-1082.00","Project Management Specialists","Project Manager","product_management","1","0.87","onet_normalized"
"occ_13_1111_00","13-1111.00","Management Analysts","Management Analyst","consulting","1","0.86","onet_normalized"
"occ_13_1151_00","13-1151.00","Training and Development Specialists","Training Specialist","hr","1","0.80","onet_normalized"
"occ_13_1161_00","13-1161.00","Market Research Analysts and Marketing Specialists","Marketing Specialist","marketing","1","0.90","onet_normalized"
"occ_13_2011_00","13-2011.00","Accountants and Auditors","Accountant","finance","1","0.91","onet_normalized"
"occ_13_2051_00","13-2051.00","Financial and Investment Analysts","Financial Analyst","finance","1","0.91","onet_normalized"
"occ_13_2052_00","13-2052.00","Personal Financial Advisors","Financial Advisor","finance","1","0.70","onet_normalized"
"occ_13_2072_00","13-2072.00","Loan Officers","Loan Officer","finance","1","0.73","onet_normalized"
"occ_15_1211_00","15-1211.00","Computer Systems Analysts","Systems Analyst","software","1","0.95","onet_normalized"
"occ_15_1212_00","15-1212.00","Information Security Analysts","Security Analyst","software","1","0.72","onet_normalized"
"occ_15_1232_00","15-1232.00","Computer User Support Specialists","IT Support Specialist","software","1","0.80","onet_normalized"
"occ_15_1241_00","15-1241.00","Computer Network Architects","Network Architect","software","1","0.71","onet_normalized"
"occ_15_1244_00","15-1244.00","Network and Computer Systems Administrators","Systems Administrator","software","1","0.78","onet_normalized"
"occ_15_1252_00","15-1252.00","Software Developers","Software Developer","software","1","0.95","onet_normalized"
"occ_15_1253_00","15-1253.00","Software Quality Assurance Analysts and Testers","QA Analyst","software","1","0.77","onet_normalized"
"occ_15_2031_00","15-2031.00","Operations Research Analysts","Operations Research Analyst","data","1","0.92","onet_normalized"
"occ_17_2051_00","17-2051.00","Civil Engineers","Civil Engineer","engineering","1","0.69","onet_normalized"
"occ_17_2071_00","17-2071.00","Electrical Engineers","Electrical Engineer","engineering","1","0.64","onet_normalized"
"occ_17_2072_00","17-2072.00","Electronics Engineers, Except Computer","Electronics Engineer","engineering","1","0.78","onet_normalized"
"occ_17_2112_00","17-2112.00","Industrial Engineers","Industrial Engineer","engineering","1","0.68","onet_normalized"
"occ_17_2141_00","17-2141.00","Mechanical Engineers","Mechanical Engineer","engineering","1","0.78","onet_normalized"
"occ_23_1011_00","23-1011.00","Lawyers","Lawyer","legal","1","0.83","onet_normalized"
"occ_23_2011_00","23-2011.00","Paralegals and Legal Assistants","Paralegal","legal","1","0.88","onet_normalized"
"occ_27_1024_00","27-1024.00","Graphic Designers","Graphic Designer","creative","1","0.84","onet_normalized"
"occ_27_3023_00","27-3023.00","News Analysts, Reporters, and Journalists","Journalist","journalism","1","0.79","onet_normalized"
"occ_27_3031_00","27-3031.00","Public Relations Specialists","PR Specialist","communications","1","0.78","onet_normalized"
"occ_27_3041_00","27-3041.00","Editors","Editor","content","1","0.79","onet_normalized"
"occ_27_3042_00","27-3042.00","Technical Writers","Technical Writer","content","1","0.85","onet_normalized"
"occ_27_3043_00","27-3043.00","Writers and Authors","Writer","creative","1","0.83","onet_normalized"
"occ_41_3011_00","41-3011.00","Advertising Sales Agents","Advertising Sales Agent","sales","1","0.84","onet_normalized"
"occ_41_3021_00","41-3021.00","Insurance Sales Agents","Insurance Agent","sales","1","0.69","onet_normalized"
"occ_41_3031_00","41-3031.00","Securities, Commodities, and Financial Services Sales Agents","Financial Services Sales Agent","sales","1","0.70","onet_normalized"
"occ_41_3091_00","41-3091.00","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","Sales Representative","sales","1","0.85","onet_normalized"
"occ_41_4011_00","41-4011.00","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Technical Sales Representative","sales","1","0.68","onet_normalized"
"occ_43_1011_00","43-1011.00","First-Line Supervisors of Office and Administrative Support Workers","Office Support Supervisor","admin","1","0.65","onet_normalized"
"occ_43_3021_00","43-3021.00","Billing and Posting Clerks","Billing Clerk","finance","1","0.79","onet_normalized"
"occ_43_3031_00","43-3031.00","Bookkeeping, Accounting, and Auditing Clerks","Bookkeeper","finance","1","0.90","onet_normalized"
"occ_43_4031_00","43-4031.00","Court, Municipal, and License Clerks","License Clerk","legal","1","0.64","onet_normalized"
"occ_43_4051_00","43-4051.00","Customer Service Representatives","Customer Service Representative","operations","1","0.82","onet_normalized"
"occ_43_4131_00","43-4131.00","Loan Interviewers and Clerks","Loan Clerk","finance","1","0.71","onet_normalized"
"occ_43_4171_00","43-4171.00","Receptionists and Information Clerks","Receptionist","admin","1","0.70","onet_normalized"
"occ_43_6011_00","43-6011.00","Executive Secretaries and Executive Administrative Assistants","Executive Assistant","admin","1","0.88","onet_normalized"
"occ_43_6014_00","43-6014.00","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Administrative Assistant","admin","1","0.94","onet_normalized"
"occ_43_9041_00","43-9041.00","Insurance Claims and Policy Processing Clerks","Claims Processing Clerk","operations","1","0.70","onet_normalized"
"occ_43_9061_00","43-9061.00","Office Clerks, General","Office Clerk","admin","1","0.93","onet_normalized"
"occ_43_9111_00","43-9111.00","Statistical Assistants","Statistical Assistant","data","1","0.87","onet_normalized"
