"occupation_id","task_cluster_id","exposure_score","augmentation_likelihood","partial_automation_likelihood","high_automation_likelihood","evidence_confidence","primary_sources","notes"
"occ_11_1021_00","cluster_client_interaction","0.09","0.20","0.10","0.02","0.49","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_1021_00","cluster_coordination","0.58","0.70","0.12","0.02","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_1021_00","cluster_decision_support","0.60","0.72","0.14","0.02","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_1021_00","cluster_documentation","0.70","0.58","0.32","0.20","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_1021_00","cluster_drafting","0.00","0.01","0.00","0.02","0.01","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_1021_00","cluster_oversight_strategy","0.52","0.68","0.06","0.02","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_1021_00","cluster_qa_review","0.00","0.01","0.01","0.02","0.02","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_1021_00","cluster_research_synthesis","0.72","0.62","0.28","0.16","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_1021_00","cluster_workflow_admin","0.25","0.10","0.77","0.69","0.71","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_2021_00","cluster_analysis","0.80","0.66","0.40","0.28","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_2021_00","cluster_client_interaction","0.10","0.19","0.12","0.04","0.54","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_2021_00","cluster_coordination","0.09","0.10","0.11","0.03","0.43","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_2021_00","cluster_decision_support","0.20","0.20","0.13","0.05","0.61","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_2021_00","cluster_documentation","0.76","0.60","0.43","0.31","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_2021_00","cluster_drafting","0.01","0.02","0.01","0.02","0.02","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_2021_00","cluster_oversight_strategy","0.01","0.01","0.01","0.02","0.02","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_2021_00","cluster_qa_review","0.70","0.72","0.36","0.24","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_2021_00","cluster_relationship_management","0.10","0.10","0.11","0.03","0.51","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_2021_00","cluster_research_synthesis","0.24","0.14","0.45","0.37","0.66","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_2021_00","cluster_workflow_admin","0.19","0.40","0.51","0.43","0.68","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_2022_00","cluster_client_interaction","0.21","0.20","0.37","0.29","0.66","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_2022_00","cluster_coordination","0.07","0.10","0.07","0.02","0.49","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_2022_00","cluster_decision_support","0.51","0.61","0.14","0.02","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_2022_00","cluster_documentation","0.09","0.10","0.10","0.02","0.50","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_2022_00","cluster_relationship_management","0.39","0.55","0.04","0.02","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_2022_00","cluster_research_synthesis","0.63","0.51","0.28","0.16","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_2022_00","cluster_workflow_admin","0.65","0.45","0.36","0.24","0.47","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_3021_00","cluster_analysis","0.16","0.14","0.65","0.57","0.64","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_11_3021_00","cluster_coordination","0.23","0.10","0.09","0.02","0.64","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
