"occupation_id","onet_task_id","task_cluster_id","membership_weight","mapping_method","mapping_confidence","notes"
"occ_11_1021_00","stub_11_1021_00_client_interaction","cluster_client_interaction","1.00","generated_cluster_proxy","0.43","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_coordination","cluster_coordination","1.00","generated_cluster_proxy","0.47","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_decision_support","cluster_decision_support","1.00","generated_cluster_proxy","0.48","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.40","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_oversight_strategy","cluster_oversight_strategy","1.00","generated_cluster_proxy","0.44","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_qa_review","cluster_qa_review","1.00","generated_cluster_proxy","0.39","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_research_synthesis","cluster_research_synthesis","1.00","generated_cluster_proxy","0.40","launch_stub_generated"
"occ_11_2021_00","stub_11_2021_00_analysis","cluster_analysis","1.00","generated_cluster_proxy","0.48","launch_stub_generated"
"occ_11_2021_00","stub_11_2021_00_client_interaction","cluster_client_interaction","1.00","generated_cluster_proxy","0.43","launch_stub_generated"
"occ_11_2021_00","stub_11_2021_00_coordination","cluster_coordination","1.00","generated_cluster_proxy","0.41","launch_stub_generated"
"occ_11_2021_00","stub_11_2021_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.38","launch_stub_generated"
"occ_11_2021_00","stub_11_2021_00_drafting","cluster_drafting","1.00","generated_cluster_proxy","0.47","launch_stub_generated"
"occ_11_2021_00","stub_11_2021_00_qa_review","cluster_qa_review","1.00","generated_cluster_proxy","0.39","launch_stub_generated"
"occ_11_2021_00","stub_11_2021_00_research_synthesis","cluster_research_synthesis","1.00","generated_cluster_proxy","0.47","launch_stub_generated"
"occ_11_2022_00","stub_11_2022_00_client_interaction","cluster_client_interaction","1.00","generated_cluster_proxy","0.47","launch_stub_generated"
"occ_11_2022_00","stub_11_2022_00_coordination","cluster_coordination","1.00","generated_cluster_proxy","0.40","launch_stub_generated"
"occ_11_2022_00","stub_11_2022_00_decision_support","cluster_decision_support","1.00","generated_cluster_proxy","0.38","launch_stub_generated"
"occ_11_2022_00","stub_11_2022_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.36","launch_stub_generated"
"occ_11_2022_00","stub_11_2022_00_relationship_management","cluster_relationship_management","1.00","generated_cluster_proxy","0.48","launch_stub_generated"
"occ_11_2022_00","stub_11_2022_00_research_synthesis","cluster_research_synthesis","1.00","generated_cluster_proxy","0.38","launch_stub_generated"
"occ_11_2022_00","stub_11_2022_00_workflow_admin","cluster_workflow_admin","1.00","generated_cluster_proxy","0.37","launch_stub_generated"
"occ_11_3021_00","stub_11_3021_00_analysis","cluster_analysis","1.00","generated_cluster_proxy","0.44","launch_stub_generated"
"occ_11_3021_00","stub_11_3021_00_coordination","cluster_coordination","1.00","generated_cluster_proxy","0.42","launch_stub_generated"
"occ_11_3021_00","stub_11_3021_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.43","launch_stub_generated"
"occ_11_3021_00","stub_11_3021_00_drafting","cluster_drafting","1.00","generated_cluster_proxy","0.48","launch_stub_generated"
"occ_11_3021_00","stub_11_3021_00_oversight_strategy","cluster_oversight_strategy","1.00","generated_cluster_proxy","0.39","launch_stub_generated"
"occ_11_3021_00","stub_11_3021_00_qa_review","cluster_qa_review","1.00","generated_cluster_proxy","0.46","launch_stub_generated"
"occ_11_3031_00","stub_11_3031_00_analysis","cluster_analysis","1.00","generated_cluster_proxy","0.49","launch_stub_generated"
"occ_11_3031_00","stub_11_3031_00_client_interaction","cluster_client_interaction","1.00","generated_cluster_proxy","0.38","launch_stub_generated"
"occ_11_3031_00","stub_11_3031_00_decision_support","cluster_decision_support","1.00","generated_cluster_proxy","0.45","launch_stub_generated"
"occ_11_3031_00","stub_11_3031_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.41","launch_stub_generated"
"occ_11_3031_00","stub_11_3031_00_execution_routine","cluster_execution_routine","1.00","generated_cluster_proxy","0.48","launch_stub_generated"
"occ_11_3031_00","stub_11_3031_00_qa_review","cluster_qa_review","1.00","generated_cluster_proxy","0.44","launch_stub_generated"
"occ_11_3071_00","stub_11_3071_00_client_interaction","cluster_client_interaction","1.00","generated_cluster_proxy","0.39","launch_stub_generated"
"occ_11_3071_00","stub_11_3071_00_coordination","cluster_coordination","1.00","generated_cluster_proxy","0.46","launch_stub_generated"
"occ_11_3071_00","stub_11_3071_00_decision_support","cluster_decision_support","1.00","generated_cluster_proxy","0.38","launch_stub_generated"
"occ_11_3071_00","stub_11_3071_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.44","launch_stub_generated"
"occ_11_3071_00","stub_11_3071_00_execution_routine","cluster_execution_routine","1.00","generated_cluster_proxy","0.48","launch_stub_generated"
"occ_11_3071_00","stub_11_3071_00_workflow_admin","cluster_workflow_admin","1.00","generated_cluster_proxy","0.45","launch_stub_generated"
"occ_11_3121_00","stub_11_3121_00_client_interaction","cluster_client_interaction","1.00","generated_cluster_proxy","0.40","launch_stub_generated"
"occ_11_3121_00","stub_11_3121_00_coordination","cluster_coordination","1.00","generated_cluster_proxy","0.45","launch_stub_generated"
"occ_11_3121_00","stub_11_3121_00_decision_support","cluster_decision_support","1.00","generated_cluster_proxy","0.38","launch_stub_generated"
"occ_11_3121_00","stub_11_3121_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.42","launch_stub_generated"
"occ_11_3121_00","stub_11_3121_00_qa_review","cluster_qa_review","1.00","generated_cluster_proxy","0.37","launch_stub_generated"
"occ_11_3121_00","stub_11_3121_00_relationship_management","cluster_relationship_management","1.00","generated_cluster_proxy","0.47","launch_stub_generated"
"occ_11_3121_00","stub_11_3121_00_workflow_admin","cluster_workflow_admin","1.00","generated_cluster_proxy","0.45","launch_stub_generated"
"occ_11_9041_00","stub_11_9041_00_analysis","cluster_analysis","1.00","generated_cluster_proxy","0.48","launch_stub_generated"
"occ_11_9041_00","stub_11_9041_00_coordination","cluster_coordination","1.00","generated_cluster_proxy","0.40","launch_stub_generated"
"occ_11_9041_00","stub_11_9041_00_decision_support","cluster_decision_support","1.00","generated_cluster_proxy","0.45","launch_stub_generated"
"occ_11_9041_00","stub_11_9041_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.42","launch_stub_generated"
"occ_11_9041_00","stub_11_9041_00_execution_routine","cluster_execution_routine","1.00","generated_cluster_proxy","0.38","launch_stub_generated"
"occ_11_9041_00","stub_11_9041_00_oversight_strategy","cluster_oversight_strategy","1.00","generated_cluster_proxy","0.38","launch_stub_generated"
"occ_11_9041_00","stub_11_9041_00_qa_review","cluster_qa_review","1.00","generated_cluster_proxy","0.47","launch_stub_generated"
"occ_11_9141_00","stub_11_9141_00_client_interaction","cluster_client_interaction","1.00","generated_cluster_proxy","0.39","launch_stub_generated"
"occ_11_9141_00","stub_11_9141_00_coordination","cluster_coordination","1.00","generated_cluster_proxy","0.46","launch_stub_generated"
"occ_11_9141_00","stub_11_9141_00_decision_support","cluster_decision_support","1.00","generated_cluster_proxy","0.38","launch_stub_generated"
"occ_11_9141_00","stub_11_9141_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.44","launch_stub_generated"
"occ_11_9141_00","stub_11_9141_00_execution_routine","cluster_execution_routine","1.00","generated_cluster_proxy","0.48","launch_stub_generated"
"occ_11_9141_00","stub_11_9141_00_workflow_admin","cluster_workflow_admin","1.00","generated_cluster_proxy","0.45","launch_stub_generated"
"occ_13_1023_00","stub_13_1023_00_client_interaction","cluster_client_interaction","1.00","generated_cluster_proxy","0.39","launch_stub_generated"
"occ_13_1023_00","stub_13_1023_00_coordination","cluster_coordination","1.00","generated_cluster_proxy","0.46","launch_stub_generated"
"occ_13_1023_00","stub_13_1023_00_decision_support","cluster_decision_support","1.00","generated_cluster_proxy","0.38","launch_stub_generated"
"occ_13_1023_00","stub_13_1023_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.44","launch_stub_generated"
"occ_13_1023_00","stub_13_1023_00_execution_routine","cluster_execution_routine","1.00","generated_cluster_proxy","0.48","launch_stub_generated"
"occ_13_1023_00","stub_13_1023_00_workflow_admin","cluster_workflow_admin","1.00","generated_cluster_proxy","0.45","launch_stub_generated"
"occ_13_1031_00","stub_13_1031_00_client_interaction","cluster_client_interaction","1.00","generated_cluster_proxy","0.39","launch_stub_generated"
"occ_13_1031_00","stub_13_1031_00_coordination","cluster_coordination","1.00","generated_cluster_proxy","0.46","launch_stub_generated"
"occ_13_1031_00","stub_13_1031_00_decision_support","cluster_decision_support","1.00","generated_cluster_proxy","0.38","launch_stub_generated"
"occ_13_1031_00","stub_13_1031_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.44","launch_stub_generated"
"occ_13_1031_00","stub_13_1031_00_execution_routine","cluster_execution_routine","1.00","generated_cluster_proxy","0.48","launch_stub_generated"
"occ_13_1031_00","stub_13_1031_00_workflow_admin","cluster_workflow_admin","1.00","generated_cluster_proxy","0.45","launch_stub_generated"
"occ_13_1041_00","stub_13_1041_00_client_interaction","cluster_client_interaction","1.00","generated_cluster_proxy","0.39","launch_stub_generated"
"occ_13_1041_00","stub_13_1041_00_coordination","cluster_coordination","1.00","generated_cluster_proxy","0.46","launch_stub_generated"
"occ_13_1041_00","stub_13_1041_00_decision_support","cluster_decision_support","1.00","generated_cluster_proxy","0.38","launch_stub_generated"
"occ_13_1041_00","stub_13_1041_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.44","launch_stub_generated"
"occ_13_1041_00","stub_13_1041_00_execution_routine","cluster_execution_routine","1.00","generated_cluster_proxy","0.48","launch_stub_generated"
"occ_13_1041_00","stub_13_1041_00_workflow_admin","cluster_workflow_admin","1.00","generated_cluster_proxy","0.45","launch_stub_generated"
"occ_13_1051_00","stub_13_1051_00_client_interaction","cluster_client_interaction","1.00","generated_cluster_proxy","0.39","launch_stub_generated"
"occ_13_1051_00","stub_13_1051_00_coordination","cluster_coordination","1.00","generated_cluster_proxy","0.46","launch_stub_generated"
"occ_13_1051_00","stub_13_1051_00_decision_support","cluster_decision_support","1.00","generated_cluster_proxy","0.38","launch_stub_generated"
"occ_13_1051_00","stub_13_1051_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.44","launch_stub_generated"
"occ_13_1051_00","stub_13_1051_00_execution_routine","cluster_execution_routine","1.00","generated_cluster_proxy","0.48","launch_stub_generated"
"occ_13_1051_00","stub_13_1051_00_workflow_admin","cluster_workflow_admin","1.00","generated_cluster_proxy","0.45","launch_stub_generated"
"occ_13_1071_00","stub_13_1071_00_client_interaction","cluster_client_interaction","1.00","generated_cluster_proxy","0.40","launch_stub_generated"
"occ_13_1071_00","stub_13_1071_00_coordination","cluster_coordination","1.00","generated_cluster_proxy","0.45","launch_stub_generated"
"occ_13_1071_00","stub_13_1071_00_decision_support","cluster_decision_support","1.00","generated_cluster_proxy","0.38","launch_stub_generated"
"occ_13_1071_00","stub_13_1071_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.42","launch_stub_generated"
"occ_13_1071_00","stub_13_1071_00_qa_review","cluster_qa_review","1.00","generated_cluster_proxy","0.37","launch_stub_generated"
"occ_13_1071_00","stub_13_1071_00_relationship_management","cluster_relationship_management","1.00","generated_cluster_proxy","0.47","launch_stub_generated"
"occ_13_1071_00","stub_13_1071_00_workflow_admin","cluster_workflow_admin","1.00","generated_cluster_proxy","0.45","launch_stub_generated"
"occ_13_1081_00","stub_13_1081_00_client_interaction","cluster_client_interaction","1.00","generated_cluster_proxy","0.39","launch_stub_generated"
"occ_13_1081_00","stub_13_1081_00_coordination","cluster_coordination","1.00","generated_cluster_proxy","0.46","launch_stub_generated"
"occ_13_1081_00","stub_13_1081_00_decision_support","cluster_decision_support","1.00","generated_cluster_proxy","0.38","launch_stub_generated"
"occ_13_1081_00","stub_13_1081_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.44","launch_stub_generated"
"occ_13_1081_00","stub_13_1081_00_execution_routine","cluster_execution_routine","1.00","generated_cluster_proxy","0.48","launch_stub_generated"
"occ_13_1081_00","stub_13_1081_00_workflow_admin","cluster_workflow_admin","1.00","generated_cluster_proxy","0.45","launch_stub_generated"
"occ_13_1082_00","stub_13_1082_00_client_interaction","cluster_client_interaction","1.00","generated_cluster_proxy","0.43","launch_stub_generated"
"occ_13_1082_00","stub_13_1082_00_coordination","cluster_coordination","1.00","generated_cluster_proxy","0.47","launch_stub_generated"
"occ_13_1082_00","stub_13_1082_00_decision_support","cluster_decision_support","1.00","generated_cluster_proxy","0.48","launch_stub_generated"
"occ_13_1082_00","stub_13_1082_00_documentation","cluster_documentation","1.00","generated_cluster_proxy","0.40","launch_stub_generated"
"occ_13_1082_00","stub_13_1082_00_oversight_strategy","cluster_oversight_strategy","1.00","generated_cluster_proxy","0.44","launch_stub_generated"
"occ_13_1082_00","stub_13_1082_00_qa_review","cluster_qa_review","1.00","generated_cluster_proxy","0.39","launch_stub_generated"
"occ_13_1082_00","stub_13_1082_00_research_synthesis","cluster_research_synthesis","1.00","generated_cluster_proxy","0.40","launch_stub_generated"
"occ_13_1111_00","stub_13_1111_00_analysis","cluster_analysis","1.00","generated_cluster_proxy","0.48","launch_stub_generated"
