"occupation_id","from_task_id","to_task_id","dependency_type","dependency_strength","edge_source","edge_confidence","notes"
"occ_11_1021_00","task_occ_11_1021_00_20700","task_occ_11_1021_00_933","enables","0.0977","src_v2_role_graph_seed_2026_03","0.6382","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_20700","task_occ_11_1021_00_948","reviews","0.0844","src_v2_role_graph_seed_2026_03","0.6159","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_20700","task_occ_11_1021_00_jd_gm_01","enables","0.0966","src_v2_role_graph_seed_2026_03","0.7273","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_20700","task_occ_11_1021_00_jd_gm_04","reviews","0.0972","src_v2_role_graph_seed_2026_03","0.7068","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_20701","task_occ_11_1021_00_933","supports","0.1172","src_v2_role_graph_seed_2026_03","0.6083","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_20701","task_occ_11_1021_00_944","enables","0.0737","src_v2_role_graph_seed_2026_03","0.5556","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_20701","task_occ_11_1021_00_jd_gm_01","supports","0.1160","src_v2_role_graph_seed_2026_03","0.6974","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_20701","task_occ_11_1021_00_jd_gm2_04","enables","0.0758","src_v2_role_graph_seed_2026_03","0.6627","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_20707","task_occ_11_1021_00_948","feeds","0.0675","src_v2_role_graph_seed_2026_03","0.5961","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_20707","task_occ_11_1021_00_jd_gm_04","feeds","0.0778","src_v2_role_graph_seed_2026_03","0.6870","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_20708","task_occ_11_1021_00_933","enables","0.0977","src_v2_role_graph_seed_2026_03","0.6202","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_20708","task_occ_11_1021_00_948","reviews","0.0844","src_v2_role_graph_seed_2026_03","0.5979","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_20708","task_occ_11_1021_00_jd_gm_01","enables","0.0966","src_v2_role_graph_seed_2026_03","0.7093","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_20708","task_occ_11_1021_00_jd_gm_04","reviews","0.0972","src_v2_role_graph_seed_2026_03","0.6888","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_933","task_occ_11_1021_00_20700","supports","0.1193","src_v2_role_graph_seed_2026_03","0.6382","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_933","task_occ_11_1021_00_20706","supports","0.1193","src_v2_role_graph_seed_2026_03","0.6584","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_933","task_occ_11_1021_00_944","enables","0.1105","src_v2_role_graph_seed_2026_03","0.6184","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_933","task_occ_11_1021_00_jd_gm2_04","enables","0.1136","src_v2_role_graph_seed_2026_03","0.7255","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_944","task_occ_11_1021_00_948","feeds","0.0675","src_v2_role_graph_seed_2026_03","0.5961","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_944","task_occ_11_1021_00_jd_gm_04","feeds","0.0778","src_v2_role_graph_seed_2026_03","0.6870","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_945","task_occ_11_1021_00_20699","feeds","0.1635","src_v2_role_graph_seed_2026_03","0.4281","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_945","task_occ_11_1021_00_933","supports","0.0977","src_v2_role_graph_seed_2026_03","0.5387","seeded_from_cluster_dependency_proxy"
"occ_11_1021_00","task_occ_11_1021_00_945","task_occ_11_1021_00_944","supports","0.0737","src_v2_role_graph_seed_2026_03","0.4861","seeded_from_cluster_dependency_proxy"
