"occupation_id","onet_task_id","task_cluster_id","source_id","exposure_score","augmentation_score","automation_score","observed_usage_share","evidence_type","confidence","notes"
"occ_11_1021_00","20699","cluster_qa_review","src_anthropic_ei_2026_01_15","0.24","0.32","0.60","0.0002","anthropic_task_usage","0.79","anthropic_normalized|release_2026_01_15|task_count=486|work_share=0.86|autonomy_mean=3.13|success_share=0.45|time_ratio=3.20"
"occ_11_1021_00","20702","cluster_workflow_admin","src_anthropic_ei_2026_01_15","0.25","0.10","0.77","0.0000","anthropic_task_usage","0.71","anthropic_normalized|release_2026_01_15|task_count=16|work_share=1.00|autonomy_mean=3.19|success_share=0.00|time_ratio=1.39"
"occ_11_1021_00","20707","cluster_client_interaction","src_anthropic_ei_2026_01_15","0.09","0.20","0.10","0.0000","anthropic_task_usage","0.49","anthropic_normalized|release_2026_01_15|task_count=20|work_share=0.00|autonomy_mean=3.20|success_share=0.85|time_ratio=2.83"
"occ_11_1021_00","945","cluster_drafting","src_anthropic_ei_2026_01_15","0.24","0.60","0.41","0.0001","anthropic_task_usage","0.77","anthropic_normalized|release_2026_01_15|task_count=186|work_share=0.88|autonomy_mean=3.55|success_share=0.63|time_ratio=2.42"
"occ_11_1021_00","stub_11_1021_00_client_interaction","cluster_client_interaction","src_internal_stub_2026_03","0.54","0.68","0.08","0.22","generated_task_proxy","0.45","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_coordination","cluster_coordination","src_internal_stub_2026_03","0.58","0.70","0.12","0.30","generated_task_proxy","0.49","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_decision_support","cluster_decision_support","src_internal_stub_2026_03","0.60","0.72","0.14","0.26","generated_task_proxy","0.50","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_documentation","cluster_documentation","src_internal_stub_2026_03","0.70","0.58","0.32","0.18","generated_task_proxy","0.42","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_oversight_strategy","cluster_oversight_strategy","src_internal_stub_2026_03","0.52","0.68","0.06","0.24","generated_task_proxy","0.46","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_qa_review","cluster_qa_review","src_internal_stub_2026_03","0.64","0.70","0.25","0.18","generated_task_proxy","0.41","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_research_synthesis","cluster_research_synthesis","src_internal_stub_2026_03","0.72","0.62","0.28","0.18","generated_task_proxy","0.42","launch_stub_generated"
"occ_11_2021_00","20709","cluster_oversight_strategy","src_anthropic_ei_2026_01_15","0.25","0.62","0.45","0.0002","anthropic_task_usage","0.79","anthropic_normalized|release_2026_01_15|task_count=375|work_share=0.87|autonomy_mean=3.62|success_share=0.60|time_ratio=2.21"
"occ_11_2021_00","950","cluster_client_interaction","src_anthropic_ei_2026_01_15","0.26","0.77","0.24","0.0001","anthropic_task_usage","0.78","anthropic_normalized|release_2026_01_15|task_count=133|work_share=0.99|autonomy_mean=3.59|success_share=0.73|time_ratio=4.55"
"occ_11_2021_00","951","cluster_drafting","src_anthropic_ei_2026_01_15","0.25","0.75","0.34","0.0002","anthropic_task_usage","0.80","anthropic_normalized|release_2026_01_15|task_count=413|work_share=0.83|autonomy_mean=3.67|success_share=0.71|time_ratio=3.36"
"occ_11_2021_00","957","cluster_research_synthesis","src_anthropic_ei_2026_01_15","0.22","0.18","0.79","0.0000","anthropic_task_usage","0.70","anthropic_normalized|release_2026_01_15|task_count=28|work_share=0.82|autonomy_mean=3.18|success_share=0.64|time_ratio=2.23"
"occ_11_2021_00","958","cluster_decision_support","src_anthropic_ei_2026_01_15","0.20","0.20","0.13","0.0000","anthropic_task_usage","0.61","anthropic_normalized|release_2026_01_15|task_count=29|work_share=0.59|autonomy_mean=3.90|success_share=0.79|time_ratio=2.47"
"occ_11_2021_00","960","cluster_relationship_management","src_anthropic_ei_2026_01_15","0.10","0.10","0.11","0.0000","anthropic_task_usage","0.51","anthropic_normalized|release_2026_01_15|task_count=24|work_share=0.00|autonomy_mean=3.46|success_share=0.00|time_ratio=4.26"
