"occupation_id","task_id","function_id","edge_type","task_to_function_weight","accountability_weight","judgment_requirement","trust_requirement","regulatory_liability_weight","human_authority_requirement","source_mix","source_confidence","notes"
"occ_11_1021_00","task_occ_11_1021_00_19501","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5486","0.7163","0.6187","0.6473","0.4199","0.7089","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7035","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_19501","fn_occ_11_1021_00_primary","directly_supports","0.4514","0.6683","0.5883","0.6353","0.4101","0.6505","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7125","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20699","fn_occ_11_1021_00_people_resource_leadership","supports","0.4593","0.6415","0.5909","0.6137","0.4109","0.6180","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6007","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20699","fn_occ_11_1021_00_primary","supports","0.5407","0.6560","0.5961","0.6017","0.4191","0.5927","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.6097","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20700","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5046","0.7456","0.6099","0.6920","0.4155","0.7052","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6958","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20700","fn_occ_11_1021_00_primary","directly_supports","0.4954","0.7284","0.5971","0.6800","0.4145","0.6632","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7048","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20701","fn_occ_11_1021_00_people_resource_leadership","supports","0.4410","0.4638","0.5172","0.5224","0.3291","0.5675","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7286","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20701","fn_occ_11_1021_00_primary","supports","0.5590","0.4911","0.5298","0.5104","0.3409","0.5490","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7376","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20702","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5511","0.6432","0.5392","0.5933","0.3401","0.6020","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6793","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20702","fn_occ_11_1021_00_primary","directly_supports","0.4489","0.5934","0.5078","0.5813","0.3299","0.5427","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.6883","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20703","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5478","0.6539","0.5386","0.6051","0.3398","0.6026","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7090","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20703","fn_occ_11_1021_00_primary","directly_supports","0.4522","0.6064","0.5084","0.5931","0.3302","0.5445","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7180","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20704","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5494","0.6484","0.5389","0.5991","0.3399","0.6023","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6793","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20704","fn_occ_11_1021_00_primary","directly_supports","0.4506","0.5998","0.5081","0.5871","0.3301","0.5436","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.6883","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20705","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5492","0.6490","0.5388","0.5998","0.3399","0.6023","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6793","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20705","fn_occ_11_1021_00_primary","directly_supports","0.4508","0.6005","0.5082","0.5878","0.3301","0.5437","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.6883","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20706","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5055","0.7459","0.6101","0.6920","0.4156","0.7054","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7206","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20706","fn_occ_11_1021_00_primary","directly_supports","0.4945","0.7281","0.5969","0.6800","0.4144","0.6630","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7296","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20707","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5517","0.7095","0.5893","0.6894","0.3402","0.6587","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6716","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20707","fn_occ_11_1021_00_primary","directly_supports","0.4483","0.6593","0.5577","0.6774","0.3298","0.5992","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.6806","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20708","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5224","0.7391","0.6135","0.6792","0.4172","0.7073","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6738","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20708","fn_occ_11_1021_00_primary","directly_supports","0.4776","0.7094","0.5935","0.6672","0.4128","0.6586","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.6828","reviewed_primary_task_function_edge"
