"occupation_id","title","reviewed_posting_rows","reviewed_task_override_rows","function_anchor_rows","benchmark_task_label_rows","live_task_match_rows"
"occ_11_1021_00","General and Operations Managers","8","4","2","17","0"
"occ_11_2021_00","Marketing Managers","8","8","2","20","0"
"occ_11_2022_00","Sales Managers","8","8","2","17","0"
"occ_11_3021_00","Computer and Information Systems Managers","8","8","2","17","0"
"occ_11_3031_00","Financial Managers","8","8","2","17","0"
"occ_11_3071_00","Transportation, Storage, and Distribution Managers","8","8","2","30","0"
"occ_11_3121_00","Human Resources Managers","8","8","2","26","0"
"occ_11_9041_00","Architectural and Engineering Managers","8","8","2","19","0"
"occ_11_9141_00","Property, Real Estate, and Community Association Managers","8","8","2","27","0"
"occ_13_1023_00","Purchasing Agents, Except Wholesale, Retail, and Farm Products","8","8","2","19","0"
"occ_13_1031_00","Claims Adjusters, Examiners, and Investigators","8","8","2","29","0"
"occ_13_1041_00","Compliance Officers","12","8","2","16","0"
"occ_13_1051_00","Cost Estimators","12","12","2","14","0"
"occ_13_1071_00","Human Resources Specialists","8","4","2","26","0"
"occ_13_1081_00","Logisticians","8","4","1","22","0"
"occ_13_1082_00","Project Management Specialists","8","4","2","20","0"
"occ_13_1111_00","Management Analysts","12","8","2","11","0"
"occ_13_1151_00","Training and Development Specialists","8","4","1","20","0"
"occ_13_1161_00","Market Research Analysts and Marketing Specialists","8","8","2","13","0"
"occ_13_1199_00","Business Operations Specialists, All Other","12","28","1","0","0"
"occ_13_2011_00","Accountants and Auditors","8","4","3","29","0"
"occ_13_2051_00","Financial and Investment Analysts","8","8","2","26","0"
"occ_13_2052_00","Personal Financial Advisors","8","8","2","21","0"
"occ_13_2072_00","Loan Officers","8","8","2","30","0"
"occ_15_1211_00","Computer Systems Analysts","8","8","2","22","0"
"occ_15_1212_00","Information Security Analysts","16","16","2","11","0"
"occ_15_1232_00","Computer User Support Specialists","12","12","2","16","0"
"occ_15_1241_00","Computer Network Architects","8","8","2","33","0"
"occ_15_1244_00","Network and Computer Systems Administrators","8","8","2","20","0"
"occ_15_1252_00","Software Developers","8","4","2","17","0"
"occ_15_1253_00","Software Quality Assurance Analysts and Testers","8","8","2","30","0"
"occ_15_2031_00","Operations Research Analysts","8","8","2","16","0"
"occ_15_2051_00","Data Scientists","12","12","2","16","0"
"occ_17_2051_00","Civil Engineers","12","12","2","16","0"
"occ_17_2071_00","Electrical Engineers","8","8","2","21","0"
"occ_17_2072_00","Electronics Engineers, Except Computer","4","0","1","20","0"
"occ_17_2112_00","Industrial Engineers","8","8","2","20","0"
"occ_17_2141_00","Mechanical Engineers","8","4","1","28","0"
"occ_23_1011_00","Lawyers","8","4","2","21","0"
"occ_23_2011_00","Paralegals and Legal Assistants","12","13","2","11","0"
"occ_27_1024_00","Graphic Designers","8","4","1","16","0"
"occ_27_3023_00","News Analysts, Reporters, and Journalists","4","0","3","30","0"
"occ_27_3031_00","Public Relations Specialists","8","4","2","18","0"
"occ_27_3041_00","Editors","8","4","2","21","0"
"occ_27_3042_00","Technical Writers","8","4","2","15","0"
"occ_27_3043_00","Writers and Authors","8","4","1","20","0"
"occ_41_3011_00","Advertising Sales Agents","8","4","1","20","0"
"occ_41_3021_00","Insurance Sales Agents","8","8","2","19","0"
"occ_41_3031_00","Securities, Commodities, and Financial Services Sales Agents","8","8","2","30","0"
"occ_41_3091_00","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","8","11","2","15","0"
"occ_41_4011_00","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","8","8","2","33","0"
"occ_43_1011_00","First-Line Supervisors of Office and Administrative Support Workers","8","8","2","28","0"
"occ_43_3021_00","Billing and Posting Clerks","8","8","2","28","0"
"occ_43_3031_00","Bookkeeping, Accounting, and Auditing Clerks","8","4","1","28","0"
"occ_43_4031_00","Court, Municipal, and License Clerks","8","8","2","30","0"
"occ_43_4051_00","Customer Service Representatives","8","4","1","13","0"
"occ_43_4131_00","Loan Interviewers and Clerks","8","8","2","18","0"
"occ_43_4171_00","Receptionists and Information Clerks","8","8","2","18","0"
"occ_43_6011_00","Executive Secretaries and Executive Administrative Assistants","8","4","1","22","0"
"occ_43_6014_00","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","4","0","1","31","0"
"occ_43_9041_00","Insurance Claims and Policy Processing Clerks","8","8","2","25","0"
"occ_43_9061_00","Office Clerks, General","8","4","1","20","0"
"occ_43_9111_00","Statistical Assistants","8","4","1","14","0"
